2005_word,2005_count,2006_word,2006_count,2007_word,2007_count,2008_word,2008_count,2009_word,2009_count,2010_word,2010_count,2011_word,2011_count,2012_word,2012_count,2013_word,2013_count,2014_word,2014_count,2015_word,2015_count,2016_word,2016_count,2017_word,2017_count,2018_word,2018_count,2019_word,2019_count,2020_word,2020_count
동탄,1436,경찰서,844,경찰서,568,위원회,466,위원회,246,유치원,1278,통학거리,1348,광교,1570,행정청,4500,국정원,504,대구,1160,대구,824,광주,756,광주,1202,휴대폰,1504,수정구청,930
경찰서,432,부산,520,피해자,320,면사무소,360,경찰서,184,교육청,1026,중학교,1242,교육청,1432,행정청들,1478,위원회,326,정류장,588,정류장,478,대구,590,구조물,742,분당구청,996,분당구청,868
위원회,272,핸드폰,462,청주,276,청각 장애,352,가해자,112,광명,742,유치원,1222,중학교,1430,위원회,1246,건축물,250,주차장,374,대구시,388,정류장,312,도시철,742,분당,978,분당,810
동탄 신도시,270,피해자,384,핸드폰,242,머슴들,238,부대장,108,중학교,696,광교,1030,신동,1038,납세자,1218,가해자,222,대구시,366,광주,278,민원실,218,구조물 벽면,676,수정구청,938,휴대폰,792
피해자,258,가해자,380,위원회,214,경찰서,212,소유자,102,궁의문,672,교육청,1022,유치원,978,적법 조치,1008,서울,202,부산,348,매연신고,178,주차장,216,구조물 벽면 녹물제거,676,성남,868,성남,528
중학교,238,전화번호,256,가해자,198,경기도,210,대법원,98,진접,608,A22블럭,602,수원,762,피해들,886,일본,202,부산시,282,주정차,176,종합민원실,214,녹물제거,676,중원구청,616,가로등,400
입주민,236,휴대폰,172,재개발,194,공직자,200,서울,96,학부모,590,수원,398,세대수,616,국민권익위원회,804,뇌파,196,건축물,270,비서실,158,입주민,156,대구,500,과천,570,주정차,392
사립고,230,경찰청,146,운전자,190,장애인,198,뇌파,90,입주자,474,학부모,382,수원시,614,피상속,726,노래방,188,명지,232,주차장,158,대구시,148,정류장,228,정류장,348,코로나,226
교육청,224,주차장,142,전화번호,158,보험료,196,운전병,90,운동장,412,고등학교,370,곡반,566,심판원,724,경찰서,174,광주,208,직소민원,158,가로등,146,광주광역시 북구,220,현수막,340,정류장,206
고등학교,222,교통사고,136,범칙금,150,임대료,188,청와대,86,선생님,406,입주자,338,가람마을,496,기속력,694,피해자,146,입주민,194,부산,150,자갈마당,144,대구시,214,주정차,296,노점상,194
입주자,218,파출소,136,충북,148,고위공직자,178,국민권익위원회,84,화봉,340,입주민,324,학부모,480,행정심판 재결,650,생체신호,144,폐쇄창,178,전화 접수,150,체육관,126,연제동,172,가로등,218,현수막,188
서울,214,피의자,132,과태료,126,보증금,176,위원장,84,단설,298,선생님,320,학교 용지,478,조세심판원,604,개인의견,140,비서실,176,ㅁ위치,138,매연신고,124,광산구,166,거제시,188,거제시,178
부산,210,운전자,128,경찰청,124,재개발,148,피해자,70,하나님,258,학생수,316,C3,404,담당직무,560,장애인,132,직소민원,170,대중교통,124,요구사항,124,남구,162,주차장,162,중원구청,142
청와대,206,서울,126,노래방,124,운정,140,아프로마트,68,경기도,254,국토부,280,C4,402,기본법,476,현대,130,메르스,168,ㅁ불편사항,122,접수일시,118,주차장,142,노점상,150,정자동,140
